"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lab_force","num_nilf","num_unemployed","num_employed","num_ftyr","num_ft","num_pt","num_lowend","num_noncollege","epop","lfpr","pct_nilf","urate","pct_employed","pct_ftyr","pct_ft","pct_pt","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"11","Arts","Film Video And Photographic Arts",1235,138789,12545,6347,107337,0.00595987202436355,0.0903890077743913,0.0457312899437275,0.773382616777987,126925,11864,10827,116098,64713,84601,31497,12736,72489,0.83650721598974,0.914517721145047,0.0854822788549525,0.0853023439038803,0.91469765609612,0.557399782941997,0.728703336836121,0.271296663163879,0.109700425502593,0.624377680924736,28000,36100,50559.45,14312,75222,63567,106140,9239,874,12296,16003,0.103120564309852,0.541988197911938,0.458011802088062,0.764758013963643,0.0665686761919172,0.00629732903904488,0.0885949174646406,0.11530452701583
"12","Arts","Fine Arts",1941,235502,24944,8405,180755,0.0101129180373204,0.10591842107498,0.0356897181340286,0.767530636682491,205677,29825,14443,191234,110533,133814,57420,27806,107205,0.81202707408005,0.873355640291802,0.126644359708198,0.0702217554709569,0.929778244529043,0.577998682242697,0.699739586056873,0.300260413943127,0.14540301410837,0.560595919135718,25000,35000,45503.505,35745,76582,158920,175999,17690,529,23779,27724,0.15178215047006,0.325186197994072,0.674813802005928,0.747335479104211,0.0751161348948204,0.00224626542449746,0.100971541642958,0.117722991736801
"13","Arts","Miscellaneous Fine Arts",161,15787,1581,1509,10257,0.000677924760958198,0.100145689491354,0.0955849749794134,0.649711788180148,13215,2572,2201,11014,6144,7740,3274,2536,6043,0.697662633812631,0.837081142712358,0.162918857287642,0.166553159288687,0.833446840711313,0.557835482113674,0.702741964772108,0.297258035227892,0.230252406028691,0.548665335028146,28000,40000,53593.017,2760,9346,6441,13278,420,0,1022,1233,0.174827389624374,0.592006080952683,0.407993919047317,0.841071767910306,0.0266041679863179,0,0.0647368087667068,0.078102236016976
"14","Arts","Music",2002,229129,52559,27424,125529,0.00983924891072344,0.229386066364362,0.119688035997189,0.547852956194982,197343,31786,9815,187528,86743,111874,75654,27276,110201,0.818438521531539,0.861274653142989,0.138725346857011,0.0497357392965547,0.950264260703445,0.462560257668188,0.596572245211382,0.403427754788618,0.145450279424939,0.587650910797321,25279.725,35391.615,50000,35748,127936,101193,171110,19870,537,23205,23669,0.156016916234959,0.558357955562151,0.441642044437849,0.746784562408076,0.0867197081120242,0.00234365793941404,0.101274827717138,0.10329988783611
"15","Arts","Studio Arts",559,56565,7245,3184,40568,0.0024290121051245,0.128082736674622,0.0562892247856448,0.717192610271369,50896,5669,2490,48406,24719,30531,17875,5537,27044,0.855758861486785,0.899779015292142,0.100220984707858,0.0489232945614587,0.951076705438541,0.510659835557576,0.630727595752593,0.369272404247407,0.114386646283519,0.558691071354791,23100,30537.9078,40447.56,9597,14852,41713,46210,2352,185,3185,6172,0.169663219305224,0.262565190488818,0.737434809511182,0.816936268010254,0.041580482630602,0.0032705736763016,0.0563069035622735,0.109113409352073
"16","Arts","Visual And Performing Arts",461,56109,8419,1798,40129,0.00240943057025423,0.150047229499724,0.0320447700012476,0.715197205439413,50474,5635,1850,48624,20623,29143,19481,8357,30194,0.866598941346308,0.899570478889305,0.100429521110695,0.0366525339778896,0.96334746602211,0.424132115827575,0.599354228364594,0.400645771635406,0.171869858506088,0.620969068772623,26290.914,35391.615,49042.6665,7054,12040,44069,39253,6581,0,4783,5960,0.12571958152881,0.214582330820368,0.785417669179633,0.699584736851485,0.117289561389438,0,0.0852447913881908,0.106221818246627
"17","Biology & Life Science","Biochemical Sciences",1416,153354,59833,19954,56607,0.00658532170722642,0.390162630254183,0.130117245066969,0.369126335146132,108537,44817,4237,104300,61317,80994,23306,4857,34985,0.680125722185271,0.707754606987754,0.292245393012246,0.0390373789583276,0.960962621041672,0.587890699904123,0.776548418024928,0.223451581975072,0.0465675934803452,0.33542665388303,29324.481,41458.749,55000,21707,78947,74407,97586,7751,1080,36828,14228,0.141548313053458,0.514802352726372,0.485197647273628,0.636344666588416,0.0505431876573158,0.00704252905043233,0.240150240619743,0.0927787993792141
"18","Biology & Life Science","Biology",9630,1091013,370323,140976,437103,0.0468502392618792,0.339430419252566,0.129215692205317,0.40063958907914,801012,290001,46372,754640,410036,539601,215039,56144,355530,0.691687450103711,0.734191068300744,0.265808931699256,0.0578917669148527,0.942108233085147,0.543353122018446,0.71504425951447,0.28495574048553,0.0743983886356408,0.471125304781088,27000,38000,52581.828,173087,431829,659184,753103,96547,3978,177659,107998,0.158647972113989,0.395805549521408,0.604194450478592,0.690278667623575,0.0884929877095873,0.00364615270395495,0.162838572959259,0.0989887379893732
"19","Biology & Life Science","Cognitive Science And Biopsychology",154,16643,4619,1713,8382,0.000714683080802388,0.277534098419756,0.102926155140299,0.503635161929941,13895,2748,1355,12540,7407,9626,2914,702,5311,0.753469927296761,0.834885537463198,0.165114462536802,0.0975170924793091,0.902482907520691,0.59066985645933,0.76762360446571,0.23237639553429,0.0559808612440191,0.423524720893142,28313.292,34000,50559.45,1561,4420,12223,10500,1287,184,4065,795,0.0937931863245809,0.265577119509704,0.734422880490296,0.630895872138437,0.0773298083278255,0.0110556990927117,0.244246830499309,0.0477678303190531
"20","Biology & Life Science","Ecology",421,42323,7903,3154,27201,0.00181743267612807,0.186730619285022,0.0745221274484323,0.642700186659736,38273,4050,2310,35963,20416,26753,9210,2961,18139,0.849727098740637,0.904307350613142,0.0956926493868582,0.0603558644475218,0.939644135552478,0.56769457497984,0.743903456330117,0.256096543669883,0.0823346216945194,0.504379501153964,25000,32358.048,42000,6234,16718,25605,36174,1971,106,2051,4170,0.147295796611771,0.395009805543085,0.604990194456915,0.854712567634619,0.0465704227016043,0.00250454835432271,0.0484606478746781,0.0985279871464688
"21","Biology & Life Science","Environmental Science",1311,141857,22203,9997,96105,0.00609161796511352,0.156516773934314,0.0704723771121623,0.677478023643528,127592,14265,7914,119678,72518,92929,26749,12036,56904,0.843652410526093,0.899440986345404,0.100559013654596,0.0620258323405856,0.937974167659414,0.605942612677351,0.776491919985294,0.223508080014706,0.100569862464279,0.475475860224937,30000,38526.3009,50559.45,18387,67426,74431,118597,5996,841,10590,10329,0.129616444729552,0.475309642809308,0.524690357190692,0.836032060455247,0.04226791769176,0.00592850546677288,0.0746526431547262,0.0728127621477967
"22","Biology & Life Science","Microbiology",424,47717,14729,6663,21258,0.00204906162150138,0.308674057463797,0.139635769222709,0.445501603202213,34941,12776,1825,33116,19705,25093,8023,2346,14245,0.694008424670453,0.732254751975187,0.267745248024813,0.0522309035230818,0.947769096476918,0.595029592946008,0.757730402222491,0.242269597777509,0.0708418891170431,0.43015460804445,28000,38425.182,53593.017,9156,22879,24838,32417,3439,110,10378,4569,0.191881300165559,0.479472724605487,0.520527275394513,0.679359557390448,0.0720707504662908,0.00230525808412096,0.217490621790976,0.0957520380577153
"23","Biology & Life Science","Miscellaneous Biology",434,47509,15009,8317,19662,0.00204012969331495,0.315919089014713,0.175061567281989,0.413858426824391,37306,10203,1861,35445,21549,27604,7841,2004,13463,0.746069165842261,0.78524069123745,0.21475930876255,0.0498847370396183,0.950115262960382,0.607955988150656,0.778784031598251,0.221215968401749,0.0565382987727465,0.379827902383975,25279.725,39133.0143,54000,9724,20651,26858,26638,1804,83,16433,3479,0.204677008566798,0.434675535161759,0.565324464838241,0.560693763286956,0.0379717527205372,0.00174703740343935,0.345892357237576,0.0732282304405481
"24","Biology & Life Science","Molecular Biology",580,60116,23186,9528,19417,0.00258149901373048,0.385687670503693,0.158493579080444,0.322992215050902,42121,17995,2571,39550,22750,28915,10635,1643,13732,0.657894736842105,0.700662053363497,0.299337946636503,0.0610384368842145,0.938961563115785,0.575221238938053,0.73109987357775,0.26890012642225,0.0415423514538559,0.347206068268015,30335.67,42469.938,58000,8578,25015,35101,39342,2024,234,14606,6041,0.142690797790938,0.416112183112649,0.583887816887351,0.654434759465034,0.0336682413999601,0.00389247454920487,0.242963603699514,0.100489054494644
"25","Biology & Life Science","Neuroscience",675,72983,30802,5336,26669,0.00313403324437906,0.422043489579765,0.0731129167066303,0.365413863502459,50343,22640,1822,48521,25712,35332,13189,3921,19694,0.66482605538276,0.689790773193757,0.310209226806243,0.0361917247680909,0.963808275231909,0.529914882215948,0.728179551122195,0.271820448877805,0.0808103707672966,0.40588611116836,28313.292,38000,55615.395,7067,29907,43076,50298,4570,51,14096,5801,0.0968307688091747,0.409780359809819,0.590219640190181,0.689174191250017,0.0626173218420728,0.000698792869572366,0.193140868421413,0.0794842634586136
"26","Biology & Life Science","Physiology",845,93791,31137,13044,39080,0.00402756959872239,0.331982812849847,0.139075177788914,0.416671109168257,70412,23379,3497,66915,36166,45943,20972,4910,32846,0.713447985414379,0.750733012762419,0.249266987237581,0.0496648298585468,0.950335170141453,0.540476724202346,0.686587461705148,0.313412538294852,0.073376671897183,0.490861540760667,30000,42000,60671.34,15045,38869,54922,64980,4492,395,19014,8693,0.160409847426725,0.414421426362871,0.585578573637129,0.692817008028489,0.0478937211459522,0.00421149150771396,0.202727340576388,0.0926847991811581
